hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,NGN,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,,0,Transient,119.35,0,1,Check-Out,
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,,0,Transient-Party,67.58,0,2,Check-Out,
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,,0,Contract,56.01,0,0,Check-Out,
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Contract,110.7,0,0,Check-Out,
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,88.2,1,0,Check-Out,
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,147,1,0,Check-Out,
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,NGN,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107,1,2,Check-Out,
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,NGN,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147,0,0,Check-Out,
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,117.9,0,2,Check-Out,
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,NGN,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123,0,0,Check-Out,
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,,0,Transient,98,0,1,Check-Out,
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,117.81,0,0,Check-Out,
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,135,1,2,Check-Out,
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,NGN,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,133,0,1,Check-Out,
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,,0,Contract,58.95,0,0,Check-Out,
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,136.33,0,2,Canceled,
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,NGN,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,,0,Transient,153,1,0,Check-Out,
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,110.5,0,0,Check-Out,
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,,0,Transient,97,0,0,Check-Out,
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110.3,0,2,Canceled,
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,2,Canceled,
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,1,Canceled,
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,1,Canceled,
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,0,Transient,91.5,0,0,Check-Out,
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,114.5,0,0,Check-Out,
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110.3,0,0,Canceled,
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,90.9,1,0,Check-Out,
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Canceled,
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,122,0,0,Check-Out,
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,,0,Transient,110.7,1,0,Check-Out,
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,85.86,0,0,Check-Out,
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,58.95,0,0,Check-Out,
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,55.68,0,0,Canceled,
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,55.68,0,0,Check-Out,
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,NGN,Direct,Direct,0,0,0,A,A,2,No Deposit,250,,0,Transient,124,0,1,Canceled,
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,,0,Contract,111.15,0,0,Check-Out,
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,,0,Contract,134.73,0,0,Check-Out,
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,,0,Transient,92.45,0,1,Check-Out,
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,108.73,0,2,Canceled,
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,73.8,0,0,Check-Out,
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,1,2,Check-Out,
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,131,0,1,Check-Out,
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,,0,Transient,94.71,0,0,Check-Out,
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,2,Check-Out,
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Canceled,
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,1,Canceled,
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,,0,Transient,117,0,1,Canceled,
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,,0,Transient,196.54,0,1,Check-Out,
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,99.3,1,2,Check-Out,
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,NGN,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,90.95,0,0,Check-Out,
Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,NGN,Direct,Direct,0,0,0,A,C,0,No Deposit,250,,0,Transient,92.67,0,1,Check-Out,
Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Transient,71.55,1,0,Check-Out,
Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,96.49,0,2,Check-Out,
Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,85.8,1,2,Check-Out,
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96.3,0,1,Check-Out,
Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,NGN,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,163,0,0,Canceled,
Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,NGN,Direct,Direct,0,0,0,D,D,0,No Deposit,250,,0,Transient,172,0,1,Canceled,
Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,110.7,0,1,Canceled,
Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,58.95,0,1,Check-Out,
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,2,Check-Out,
Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,2,Check-Out,
Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,HB,NGN,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,139,0,2,Check-Out,
Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,,0,Transient,67.24,0,0,Check-Out,
Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,116.5,0,1,Check-Out,
Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96.3,0,1,Canceled,
Resort Hotel,0,109,2015,July,27,4,2,6,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Check-Out,
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.55,0,1,Check-Out,
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.55,0,1,Check-Out,
Resort Hotel,0,79,2015,July,27,4,4,6,2,1,0,HB,NGN,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,0,Transient,149,0,1,Check-Out,
Resort Hotel,0,2,2015,July,27,4,0,1,2,2,0,BB,NGN,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240,,0,Transient,163,1,0,Check-Out,
Resort Hotel,0,30,2015,July,27,4,0,1,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,
Resort Hotel,1,51,2015,July,27,4,0,1,1,0,0,HB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,105,0,0,Canceled,
Resort Hotel,1,36,2015,July,27,4,0,1,1,0,0,BB,NGN,Direct,Direct,0,0,0,E,G,1,No Deposit,250,,0,Transient,123,0,0,No-Show,
Resort Hotel,1,73,2015,July,27,4,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,2,Canceled,
Resort Hotel,1,33,2015,July,27,4,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,113,0,0,Canceled,
Resort Hotel,0,32,2015,July,27,4,0,1,4,0,0,FB,NGN,Complementary,Direct,0,0,0,H,H,2,No Deposit,,,0,Transient,0,0,1,Check-Out,
Resort Hotel,0,8,2015,July,27,4,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient-Party,73.8,1,1,Check-Out,
Resort Hotel,0,1,2015,July,27,4,1,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,114.5,0,0,Check-Out,
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient-Party,73.8,0,2,Check-Out,
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient-Party,73.8,0,1,Check-Out,
Resort Hotel,0,9,2015,July,28,5,1,0,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,88.2,0,1,Check-Out,
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,0,Canceled,
Resort Hotel,0,0,2015,July,28,5,1,0,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306,,0,Transient,85.1,0,0,Check-Out,
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,,0,Transient,89,0,0,Check-Out,
Resort Hotel,0,2,2015,July,28,5,1,0,1,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,80.1,0,0,Check-Out,
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,98,0,0,Check-Out,
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,,0,Transient,101,1,0,Check-Out,
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,0,Canceled,
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,BB,NGN,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,167,0,1,Check-Out,
Resort Hotel,0,44,2015,July,28,5,2,0,3,0,0,HB,NGN,Online TA,TA/TO,0,0,0,G,G,3,No Deposit,240,,0,Transient,225,2,0,Check-Out,
Resort Hotel,0,80,2015,July,28,5,2,0,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,1,0,Check-Out,
Resort Hotel,0,97,2015,July,28,5,2,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,87.3,0,2,Check-Out,
Resort Hotel,0,109,2015,July,28,5,2,3,2,1,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,241,,0,Transient,85.59,1,2,Check-Out,
Resort Hotel,0,30,2015,July,28,5,2,3,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,
Resort Hotel,0,64,2015,July,28,5,2,3,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,107,0,0,Check-Out,
Resort Hotel,0,39,2015,July,28,5,2,4,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,163,0,0,Check-Out,
Resort Hotel,0,90,2015,July,28,5,2,4,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,0,Check-Out,
Resort Hotel,1,34,2015,July,28,5,2,4,2,2,0,BB,NGN,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,163,0,0,Canceled,
Resort Hotel,1,93,2015,July,28,5,2,5,2,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,,0,Transient,105.5,0,0,Canceled,
